tool_slug,market_code,base_query,display_name,localization_status,source_id,reviewed_at,notes
ad-copy-generator,BR,,,pending,,,Awaiting localized head term
ad-copy-generator,DE,,,pending,,,Awaiting localized head term
ad-copy-generator,ES,,,pending,,,Awaiting localized head term
ad-copy-generator,FR,,,pending,,,Awaiting localized head term
ad-copy-generator,ID,,,pending,,,Awaiting localized head term
ad-copy-generator,JP,,,pending,,,Awaiting localized head term
ad-copy-generator,KR,,,pending,,,Awaiting localized head term
ad-copy-generator,TH,,,pending,,,Awaiting localized head term
ad-copy-generator,TR,,,pending,,,Awaiting localized head term
ad-copy-generator,VN,,,pending,,,Awaiting localized head term
age-calculator,BR,,,pending,,,Awaiting localized head term
age-calculator,DE,,,pending,,,Awaiting localized head term
age-calculator,ES,,,pending,,,Awaiting localized head term
age-calculator,FR,,,pending,,,Awaiting localized head term
age-calculator,ID,,,pending,,,Awaiting localized head term
age-calculator,JP,,,pending,,,Awaiting localized head term
age-calculator,KR,,,pending,,,Awaiting localized head term
age-calculator,TH,,,pending,,,Awaiting localized head term
age-calculator,TR,,,pending,,,Awaiting localized head term
age-calculator,VN,,,pending,,,Awaiting localized head term
ai-humanizer,BR,,,pending,,,Awaiting localized head term
ai-humanizer,DE,,,pending,,,Awaiting localized head term
ai-humanizer,ES,,,pending,,,Awaiting localized head term
ai-humanizer,FR,,,pending,,,Awaiting localized head term
ai-humanizer,ID,,,pending,,,Awaiting localized head term
ai-humanizer,JP,,,pending,,,Awaiting localized head term
ai-humanizer,KR,,,pending,,,Awaiting localized head term
ai-humanizer,TH,,,pending,,,Awaiting localized head term
ai-humanizer,TR,,,pending,,,Awaiting localized head term
ai-humanizer,VN,,,pending,,,Awaiting localized head term
app-icon-generator,BR,,,pending,,,Awaiting localized head term
app-icon-generator,DE,,,pending,,,Awaiting localized head term
app-icon-generator,ES,,,pending,,,Awaiting localized head term
app-icon-generator,FR,,,pending,,,Awaiting localized head term
app-icon-generator,ID,,,pending,,,Awaiting localized head term
app-icon-generator,JP,,,pending,,,Awaiting localized head term
app-icon-generator,KR,,,pending,,,Awaiting localized head term
app-icon-generator,TH,,,pending,,,Awaiting localized head term
app-icon-generator,TR,,,pending,,,Awaiting localized head term
app-icon-generator,VN,,,pending,,,Awaiting localized head term
area-converter,BR,,,pending,,,Awaiting localized head term
area-converter,DE,,,pending,,,Awaiting localized head term
area-converter,ES,,,pending,,,Awaiting localized head term
area-converter,FR,,,pending,,,Awaiting localized head term
area-converter,ID,,,pending,,,Awaiting localized head term
area-converter,JP,,,pending,,,Awaiting localized head term
area-converter,KR,,,pending,,,Awaiting localized head term
area-converter,TH,,,pending,,,Awaiting localized head term
area-converter,TR,,,pending,,,Awaiting localized head term
area-converter,VN,,,pending,,,Awaiting localized head term
article-rewriter,BR,,,pending,,,Awaiting localized head term
article-rewriter,DE,,,pending,,,Awaiting localized head term
article-rewriter,ES,,,pending,,,Awaiting localized head term
article-rewriter,FR,,,pending,,,Awaiting localized head term
article-rewriter,ID,,,pending,,,Awaiting localized head term
article-rewriter,JP,,,pending,,,Awaiting localized head term
article-rewriter,KR,,,pending,,,Awaiting localized head term
article-rewriter,TH,,,pending,,,Awaiting localized head term
article-rewriter,TR,,,pending,,,Awaiting localized head term
article-rewriter,VN,,,pending,,,Awaiting localized head term
attendance-calculator,BR,,,pending,,,Awaiting localized head term
attendance-calculator,DE,,,pending,,,Awaiting localized head term
attendance-calculator,ES,,,pending,,,Awaiting localized head term
attendance-calculator,FR,,,pending,,,Awaiting localized head term
attendance-calculator,ID,,,pending,,,Awaiting localized head term
attendance-calculator,JP,,,pending,,,Awaiting localized head term
attendance-calculator,KR,,,pending,,,Awaiting localized head term
attendance-calculator,TH,,,pending,,,Awaiting localized head term
attendance-calculator,TR,,,pending,,,Awaiting localized head term
attendance-calculator,VN,,,pending,,,Awaiting localized head term
audio-compressor,BR,,,pending,,,Awaiting localized head term
audio-compressor,DE,,,pending,,,Awaiting localized head term
audio-compressor,ES,,,pending,,,Awaiting localized head term
audio-compressor,FR,,,pending,,,Awaiting localized head term
audio-compressor,ID,,,pending,,,Awaiting localized head term
audio-compressor,JP,,,pending,,,Awaiting localized head term
audio-compressor,KR,,,pending,,,Awaiting localized head term
audio-compressor,TH,,,pending,,,Awaiting localized head term
audio-compressor,TR,,,pending,,,Awaiting localized head term
audio-compressor,VN,,,pending,,,Awaiting localized head term
audio-merger,BR,,,pending,,,Awaiting localized head term
audio-merger,DE,,,pending,,,Awaiting localized head term
audio-merger,ES,,,pending,,,Awaiting localized head term
audio-merger,FR,,,pending,,,Awaiting localized head term
audio-merger,ID,,,pending,,,Awaiting localized head term
audio-merger,JP,,,pending,,,Awaiting localized head term
audio-merger,KR,,,pending,,,Awaiting localized head term
audio-merger,TH,,,pending,,,Awaiting localized head term
audio-merger,TR,,,pending,,,Awaiting localized head term
audio-merger,VN,,,pending,,,Awaiting localized head term
audio-trimmer,BR,,,pending,,,Awaiting localized head term
audio-trimmer,DE,,,pending,,,Awaiting localized head term
audio-trimmer,ES,,,pending,,,Awaiting localized head term
audio-trimmer,FR,,,pending,,,Awaiting localized head term
audio-trimmer,ID,,,pending,,,Awaiting localized head term
audio-trimmer,JP,,,pending,,,Awaiting localized head term
audio-trimmer,KR,,,pending,,,Awaiting localized head term
audio-trimmer,TH,,,pending,,,Awaiting localized head term
audio-trimmer,TR,,,pending,,,Awaiting localized head term
audio-trimmer,VN,,,pending,,,Awaiting localized head term
average-calculator,BR,,,pending,,,Awaiting localized head term
average-calculator,DE,,,pending,,,Awaiting localized head term
average-calculator,ES,,,pending,,,Awaiting localized head term
average-calculator,FR,,,pending,,,Awaiting localized head term
average-calculator,ID,,,pending,,,Awaiting localized head term
average-calculator,JP,,,pending,,,Awaiting localized head term
average-calculator,KR,,,pending,,,Awaiting localized head term
average-calculator,TH,,,pending,,,Awaiting localized head term
average-calculator,TR,,,pending,,,Awaiting localized head term
average-calculator,VN,,,pending,,,Awaiting localized head term
background-remover,BR,,,pending,,,Awaiting localized head term
background-remover,DE,,,pending,,,Awaiting localized head term
background-remover,ES,,,pending,,,Awaiting localized head term
background-remover,FR,,,pending,,,Awaiting localized head term
background-remover,ID,,,pending,,,Awaiting localized head term
background-remover,JP,,,pending,,,Awaiting localized head term
background-remover,KR,,,pending,,,Awaiting localized head term
background-remover,TH,,,pending,,,Awaiting localized head term
background-remover,TR,,,pending,,,Awaiting localized head term
background-remover,VN,,,pending,,,Awaiting localized head term
base64-encoder-decoder,BR,,,pending,,,Awaiting localized head term
base64-encoder-decoder,DE,,,pending,,,Awaiting localized head term
base64-encoder-decoder,ES,,,pending,,,Awaiting localized head term
base64-encoder-decoder,FR,,,pending,,,Awaiting localized head term
base64-encoder-decoder,ID,,,pending,,,Awaiting localized head term
base64-encoder-decoder,JP,,,pending,,,Awaiting localized head term
base64-encoder-decoder,KR,,,pending,,,Awaiting localized head term
base64-encoder-decoder,TH,,,pending,,,Awaiting localized head term
base64-encoder-decoder,TR,,,pending,,,Awaiting localized head term
base64-encoder-decoder,VN,,,pending,,,Awaiting localized head term
blog-outline-generator,BR,,,pending,,,Awaiting localized head term
blog-outline-generator,DE,,,pending,,,Awaiting localized head term
blog-outline-generator,ES,,,pending,,,Awaiting localized head term
blog-outline-generator,FR,,,pending,,,Awaiting localized head term
blog-outline-generator,ID,,,pending,,,Awaiting localized head term
blog-outline-generator,JP,,,pending,,,Awaiting localized head term
blog-outline-generator,KR,,,pending,,,Awaiting localized head term
blog-outline-generator,TH,,,pending,,,Awaiting localized head term
blog-outline-generator,TR,,,pending,,,Awaiting localized head term
blog-outline-generator,VN,,,pending,,,Awaiting localized head term
blog-title-generator,BR,,,pending,,,Awaiting localized head term
blog-title-generator,DE,,,pending,,,Awaiting localized head term
blog-title-generator,ES,,,pending,,,Awaiting localized head term
blog-title-generator,FR,,,pending,,,Awaiting localized head term
blog-title-generator,ID,,,pending,,,Awaiting localized head term
blog-title-generator,JP,,,pending,,,Awaiting localized head term
blog-title-generator,KR,,,pending,,,Awaiting localized head term
blog-title-generator,TH,,,pending,,,Awaiting localized head term
blog-title-generator,TR,,,pending,,,Awaiting localized head term
blog-title-generator,VN,,,pending,,,Awaiting localized head term
bmi-calculator,BR,,,pending,,,Awaiting localized head term
bmi-calculator,DE,,,pending,,,Awaiting localized head term
bmi-calculator,ES,,,pending,,,Awaiting localized head term
bmi-calculator,FR,,,pending,,,Awaiting localized head term
bmi-calculator,ID,,,pending,,,Awaiting localized head term
bmi-calculator,JP,,,pending,,,Awaiting localized head term
bmi-calculator,KR,,,pending,,,Awaiting localized head term
bmi-calculator,TH,,,pending,,,Awaiting localized head term
bmi-calculator,TR,,,pending,,,Awaiting localized head term
bmi-calculator,VN,,,pending,,,Awaiting localized head term
bpm-tap-counter,BR,,,pending,,,Awaiting localized head term
bpm-tap-counter,DE,,,pending,,,Awaiting localized head term
bpm-tap-counter,ES,,,pending,,,Awaiting localized head term
bpm-tap-counter,FR,,,pending,,,Awaiting localized head term
bpm-tap-counter,ID,,,pending,,,Awaiting localized head term
bpm-tap-counter,JP,,,pending,,,Awaiting localized head term
