keyword_id,keyword_text,tool_slug,tool_name_en,category_code,market_code,country_name_en,locale,research_wave,search_intent,page_type,candidate_status,localization_status,heuristic_score,heuristic_priority,metric_provider,metric_collected_at,monthly_search_volume,cpc_micros,ads_competition,ads_competition_index,seo_difficulty,trend_index,metric_status
3,gerador de faturas online,invoice-generator,Invoice Generator,business_finance,BR,Brazil,pt-BR,1,transactional,tool_variant,editor_reviewed,serp_verified,94.2,P0,,,,,,,,,
5,gerador de faturas sem cadastro,invoice-generator,Invoice Generator,business_finance,BR,Brazil,pt-BR,1,transactional,tool_variant,editor_reviewed,serp_verified,94.2,P0,,,,,,,,,
63,generator invoice online,invoice-generator,Invoice Generator,business_finance,ID,Indonesia,id-ID,1,transactional,tool_variant,editor_reviewed,serp_verified,94.2,P0,,,,,,,,,
65,generator invoice tanpa daftar,invoice-generator,Invoice Generator,business_finance,ID,Indonesia,id-ID,1,transactional,tool_variant,editor_reviewed,serp_verified,94.2,P0,,,,,,,,,
14,請求書 作成 オンライン,invoice-generator,Invoice Generator,business_finance,JP,Japan,ja-JP,1,transactional,tool_variant,editor_reviewed,serp_verified,94.2,P0,,,,,,,,,
16,請求書 作成 登録不要,invoice-generator,Invoice Generator,business_finance,JP,Japan,ja-JP,1,transactional,tool_variant,editor_reviewed,serp_verified,94.2,P0,,,,,,,,,
24,인보이스 생성기 온라인,invoice-generator,Invoice Generator,business_finance,KR,South Korea,ko-KR,1,transactional,tool_variant,editor_reviewed,serp_verified,94.2,P0,,,,,,,,,
26,인보이스 생성기 회원가입 없이,invoice-generator,Invoice Generator,business_finance,KR,South Korea,ko-KR,1,transactional,tool_variant,editor_reviewed,serp_verified,94.2,P0,,,,,,,,,
73,tạo hóa đơn online,invoice-generator,Invoice Generator,business_finance,VN,Vietnam,vi-VN,1,transactional,tool_variant,editor_reviewed,serp_verified,94.2,P0,,,,,,,,,
75,tạo hóa đơn không cần đăng ký,invoice-generator,Invoice Generator,business_finance,VN,Vietnam,vi-VN,1,transactional,tool_variant,editor_reviewed,serp_verified,94.2,P0,,,,,,,,,
1,gerador de faturas,invoice-generator,Invoice Generator,business_finance,BR,Brazil,pt-BR,1,transactional,tool_core,serp_verified,serp_verified,93.2,P0,,,,,,,,,
4,gerador de faturas grátis online,invoice-generator,Invoice Generator,business_finance,BR,Brazil,pt-BR,1,transactional,tool_variant,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
6,melhor gerador de faturas,invoice-generator,Invoice Generator,business_finance,BR,Brazil,pt-BR,1,commercial,comparison,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
7,gerador de faturas rápido,invoice-generator,Invoice Generator,business_finance,BR,Brazil,pt-BR,1,transactional,tool_variant,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
8,gerador de faturas fácil,invoice-generator,Invoice Generator,business_finance,BR,Brazil,pt-BR,1,transactional,tool_variant,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
9,gerador de faturas para celular,invoice-generator,Invoice Generator,business_finance,BR,Brazil,pt-BR,1,transactional,tool_variant,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
61,generator invoice,invoice-generator,Invoice Generator,business_finance,ID,Indonesia,id-ID,1,transactional,tool_core,serp_verified,serp_verified,93.2,P0,,,,,,,,,
62,generator invoice gratis,invoice-generator,Invoice Generator,business_finance,ID,Indonesia,id-ID,1,transactional,tool_variant,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
64,generator invoice gratis online,invoice-generator,Invoice Generator,business_finance,ID,Indonesia,id-ID,1,transactional,tool_variant,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
67,aplikasi generator invoice,invoice-generator,Invoice Generator,business_finance,ID,Indonesia,id-ID,1,commercial,comparison,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
68,generator invoice cepat,invoice-generator,Invoice Generator,business_finance,ID,Indonesia,id-ID,1,transactional,tool_variant,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
69,generator invoice mudah,invoice-generator,Invoice Generator,business_finance,ID,Indonesia,id-ID,1,transactional,tool_variant,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
70,generator invoice di HP,invoice-generator,Invoice Generator,business_finance,ID,Indonesia,id-ID,1,transactional,tool_variant,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
11,請求書 作成,invoice-generator,Invoice Generator,business_finance,JP,Japan,ja-JP,1,transactional,tool_core,serp_verified,serp_verified,93.2,P0,,,,,,,,,
12,請求書 作成 無料,invoice-generator,Invoice Generator,business_finance,JP,Japan,ja-JP,1,transactional,tool_variant,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
15,請求書 作成 ブラウザ,invoice-generator,Invoice Generator,business_finance,JP,Japan,ja-JP,1,transactional,tool_variant,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
17,請求書 作成 スマホ,invoice-generator,Invoice Generator,business_finance,JP,Japan,ja-JP,1,transactional,tool_variant,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
18,簡単 請求書 作成,invoice-generator,Invoice Generator,business_finance,JP,Japan,ja-JP,1,transactional,tool_variant,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
20,おすすめ 請求書 作成,invoice-generator,Invoice Generator,business_finance,JP,Japan,ja-JP,1,commercial,comparison,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
21,인보이스 생성기,invoice-generator,Invoice Generator,business_finance,KR,South Korea,ko-KR,1,transactional,tool_core,serp_verified,serp_verified,93.2,P0,,,,,,,,,
22,무료 인보이스 생성기,invoice-generator,Invoice Generator,business_finance,KR,South Korea,ko-KR,1,transactional,tool_variant,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
25,인보이스 생성기 사이트,invoice-generator,Invoice Generator,business_finance,KR,South Korea,ko-KR,1,commercial,comparison,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
27,인보이스 생성기 모바일,invoice-generator,Invoice Generator,business_finance,KR,South Korea,ko-KR,1,transactional,tool_variant,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
28,간편 인보이스 생성기,invoice-generator,Invoice Generator,business_finance,KR,South Korea,ko-KR,1,transactional,tool_variant,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
30,추천 인보이스 생성기,invoice-generator,Invoice Generator,business_finance,KR,South Korea,ko-KR,1,commercial,comparison,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
71,tạo hóa đơn,invoice-generator,Invoice Generator,business_finance,VN,Vietnam,vi-VN,1,transactional,tool_core,serp_verified,serp_verified,93.2,P0,,,,,,,,,
72,tạo hóa đơn miễn phí,invoice-generator,Invoice Generator,business_finance,VN,Vietnam,vi-VN,1,transactional,tool_variant,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
74,tạo hóa đơn miễn phí online,invoice-generator,Invoice Generator,business_finance,VN,Vietnam,vi-VN,1,transactional,tool_variant,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
76,công cụ tạo hóa đơn,invoice-generator,Invoice Generator,business_finance,VN,Vietnam,vi-VN,1,commercial,comparison,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
77,tạo hóa đơn nhanh,invoice-generator,Invoice Generator,business_finance,VN,Vietnam,vi-VN,1,transactional,tool_variant,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
78,tạo hóa đơn dễ dùng,invoice-generator,Invoice Generator,business_finance,VN,Vietnam,vi-VN,1,transactional,tool_variant,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
79,tạo hóa đơn trên điện thoại,invoice-generator,Invoice Generator,business_finance,VN,Vietnam,vi-VN,1,transactional,tool_variant,editor_reviewed,serp_verified,93.2,P0,,,,,,,,,
2,gerador de faturas grátis,invoice-generator,Invoice Generator,business_finance,BR,Brazil,pt-BR,1,transactional,tool_variant,editor_reviewed,serp_verified,92.2,P0,,,,,,,,,
13,無料 請求書 作成,invoice-generator,Invoice Generator,business_finance,JP,Japan,ja-JP,1,transactional,tool_variant,editor_reviewed,serp_verified,92.2,P0,,,,,,,,,
23,인보이스 생성기 무료,invoice-generator,Invoice Generator,business_finance,KR,South Korea,ko-KR,1,transactional,tool_variant,editor_reviewed,serp_verified,92.2,P0,,,,,,,,,
10,como usar gerador de faturas,invoice-generator,Invoice Generator,business_finance,BR,Brazil,pt-BR,1,informational,guide,editor_reviewed,serp_verified,91.2,P0,,,,,,,,,
66,cara generator invoice,invoice-generator,Invoice Generator,business_finance,ID,Indonesia,id-ID,1,informational,guide,editor_reviewed,serp_verified,91.2,P0,,,,,,,,,
19,請求書 作成 使い方,invoice-generator,Invoice Generator,business_finance,JP,Japan,ja-JP,1,informational,guide,editor_reviewed,serp_verified,91.2,P0,,,,,,,,,
29,인보이스 생성기 사용법,invoice-generator,Invoice Generator,business_finance,KR,South Korea,ko-KR,1,informational,guide,editor_reviewed,serp_verified,91.2,P0,,,,,,,,,
80,cách tạo hóa đơn,invoice-generator,Invoice Generator,business_finance,VN,Vietnam,vi-VN,1,informational,guide,editor_reviewed,serp_verified,91.2,P0,,,,,,,,,
403,gerador de QR Code online,qr-code-generator,QR Code Generator,marketing_seo,BR,Brazil,pt-BR,1,transactional,tool_variant,editor_reviewed,serp_verified,91.0,P0,,,,,,,,,
