tool_slug,tool_name_en,category_code,implementation_mode,monetization_model,build_complexity,commercial_intent,localization_leverage,recurring_use,ai_fit,paid_fit,baseline_competition,static_delivery_fit,mvp_wave,status,source_id,notes
break-even-calculator,Break Even Calculator,business_finance,hybrid,freemium,3,5,5,4,3,5,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
business-card-maker,Business Card Maker,business_finance,hybrid,freemium,3,5,5,4,3,5,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
compound-interest-calculator,Compound Interest Calculator,business_finance,hybrid,freemium,3,5,5,4,3,5,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
currency-converter,Currency Converter,business_finance,hybrid,freemium,3,5,5,4,3,5,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
freelance-rate-calculator,Freelance Rate Calculator,business_finance,hybrid,freemium,3,5,5,4,3,5,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
iban-validator,IBAN Validator,business_finance,hybrid,freemium,3,5,5,4,3,5,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
invoice-generator,Invoice Generator,business_finance,static_client,freemium,2,5,5,4,3,5,4,5,1,mvp,editorial_seed_20260717,Initial opportunity catalog
invoice-template-maker,Invoice Template Maker,business_finance,hybrid,freemium,3,5,5,4,3,5,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
loan-payment-calculator,Loan Payment Calculator,business_finance,hybrid,freemium,3,5,5,4,3,5,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
paypal-fee-calculator,PayPal Fee Calculator,business_finance,hybrid,freemium,3,5,5,4,3,5,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
profit-margin-calculator,Profit Margin Calculator,business_finance,hybrid,freemium,3,5,5,4,3,5,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
purchase-order-generator,Purchase Order Generator,business_finance,hybrid,freemium,3,5,5,4,3,5,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
quote-generator,Quote Generator,business_finance,hybrid,freemium,3,5,5,4,3,5,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
roi-calculator,ROI Calculator,business_finance,hybrid,freemium,3,5,5,4,3,5,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
receipt-generator,Receipt Generator,business_finance,hybrid,freemium,3,5,5,4,3,5,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
swift-code-checker,SWIFT Code Checker,business_finance,hybrid,freemium,3,5,5,4,3,5,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
sales-tax-calculator,Sales Tax Calculator,business_finance,hybrid,freemium,3,5,5,4,3,5,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
stripe-fee-calculator,Stripe Fee Calculator,business_finance,hybrid,freemium,3,5,5,4,3,5,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
timesheet-calculator,Timesheet Calculator,business_finance,hybrid,freemium,3,5,5,4,3,5,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
vat-calculator,VAT Calculator,business_finance,hybrid,freemium,3,5,5,4,3,5,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
age-calculator,Age Calculator,calculators_converters,static_client,ads,2,3,4,3,1,2,3,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
area-converter,Area Converter,calculators_converters,static_client,ads,2,3,4,3,1,2,3,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
average-calculator,Average Calculator,calculators_converters,static_client,ads,2,3,4,3,1,2,3,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
bmi-calculator,BMI Calculator,calculators_converters,static_client,ads,2,3,4,3,1,2,3,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
calorie-calculator,Calorie Calculator,calculators_converters,static_client,ads,2,3,4,3,1,2,3,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
data-storage-converter,Data Storage Converter,calculators_converters,static_client,ads,2,3,4,3,1,2,3,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
date-difference-calculator,Date Difference Calculator,calculators_converters,static_client,ads,2,3,4,3,1,2,3,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
fraction-calculator,Fraction Calculator,calculators_converters,static_client,ads,2,3,4,3,1,2,3,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
length-converter,Length Converter,calculators_converters,static_client,ads,2,3,4,3,1,2,3,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
password-generator,Password Generator,calculators_converters,static_client,ads,1,3,4,4,1,2,5,5,1,mvp,editorial_seed_20260717,Initial opportunity catalog
percentage-calculator,Percentage Calculator,calculators_converters,static_client,ads,2,3,4,3,1,2,3,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
random-number-generator,Random Number Generator,calculators_converters,static_client,ads,2,3,4,3,1,2,3,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
ratio-calculator,Ratio Calculator,calculators_converters,static_client,ads,2,3,4,3,1,2,3,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
speed-converter,Speed Converter,calculators_converters,static_client,ads,2,3,4,3,1,2,3,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
temperature-converter,Temperature Converter,calculators_converters,static_client,ads,2,3,4,3,1,2,3,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
time-zone-converter,Time Zone Converter,calculators_converters,static_client,ads,2,3,4,3,1,2,3,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
tip-calculator,Tip Calculator,calculators_converters,static_client,ads,2,3,4,3,1,2,3,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
unit-converter,Unit Converter,calculators_converters,static_client,ads,2,3,4,3,1,2,3,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
volume-converter,Volume Converter,calculators_converters,static_client,ads,2,3,4,3,1,2,3,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
weight-converter,Weight Converter,calculators_converters,static_client,ads,2,3,4,3,1,2,3,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
attendance-calculator,Attendance Calculator,career_hr,hybrid,freemium,3,5,5,3,4,4,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
cv-builder,CV Builder,career_hr,hybrid,freemium,3,5,5,3,4,4,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
cover-letter-generator,Cover Letter Generator,career_hr,hybrid,freemium,3,5,5,3,4,4,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
employee-cost-calculator,Employee Cost Calculator,career_hr,hybrid,freemium,3,5,5,3,4,4,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
hourly-to-salary-calculator,Hourly to Salary Calculator,career_hr,hybrid,freemium,3,5,5,3,4,4,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
interview-question-generator,Interview Question Generator,career_hr,hybrid,freemium,3,5,5,3,4,4,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
job-description-generator,Job Description Generator,career_hr,hybrid,freemium,3,5,5,3,4,4,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
linkedin-headline-generator,LinkedIn Headline Generator,career_hr,hybrid,freemium,3,5,5,3,4,4,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
notice-period-calculator,Notice Period Calculator,career_hr,hybrid,freemium,3,5,5,3,4,4,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
offer-letter-generator,Offer Letter Generator,career_hr,hybrid,freemium,3,5,5,3,4,4,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
overtime-calculator,Overtime Calculator,career_hr,hybrid,freemium,3,5,5,3,4,4,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
pto-calculator,PTO Calculator,career_hr,hybrid,freemium,3,5,5,3,4,4,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
professional-bio-generator,Professional Bio Generator,career_hr,hybrid,freemium,3,5,5,3,4,4,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
reference-letter-generator,Reference Letter Generator,career_hr,hybrid,freemium,3,5,5,3,4,4,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
resignation-letter-generator,Resignation Letter Generator,career_hr,hybrid,freemium,3,5,5,3,4,4,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
resume-builder,Resume Builder,career_hr,hybrid,freemium,3,5,5,3,4,5,4,3,1,mvp,editorial_seed_20260717,Initial opportunity catalog
resume-bullet-generator,Resume Bullet Generator,career_hr,hybrid,freemium,3,5,5,3,4,4,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
resume-summary-generator,Resume Summary Generator,career_hr,hybrid,freemium,3,5,5,3,4,4,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
salary-calculator,Salary Calculator,career_hr,hybrid,freemium,3,5,5,3,4,4,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
working-days-calculator,Working Days Calculator,career_hr,hybrid,freemium,3,5,5,3,4,4,4,3,,candidate,editorial_seed_20260717,Initial opportunity catalog
base64-encoder-decoder,Base64 Encoder Decoder,developer,static_client,ads,2,3,3,4,2,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
css-minifier,CSS Minifier,developer,static_client,ads,2,3,3,4,2,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
code-diff-checker,Code Diff Checker,developer,static_client,ads,2,3,3,4,2,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
cron-expression-parser,Cron Expression Parser,developer,static_client,ads,2,3,3,4,2,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
cron-generator,Cron Generator,developer,static_client,ads,2,3,3,4,2,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
hmac-generator,HMAC Generator,developer,static_client,ads,2,3,3,4,2,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
html-formatter,HTML Formatter,developer,static_client,ads,2,3,3,4,2,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
hash-generator,Hash Generator,developer,static_client,ads,2,3,3,4,2,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
json-formatter,JSON Formatter,developer,static_client,ads,1,3,3,5,2,2,5,5,1,mvp,editorial_seed_20260717,Initial opportunity catalog
json-validator,JSON Validator,developer,static_client,ads,2,3,3,4,2,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
jwt-decoder,JWT Decoder,developer,static_client,ads,2,3,3,4,2,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
javascript-minifier,JavaScript Minifier,developer,static_client,ads,2,3,3,4,2,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
lorem-ipsum-generator,Lorem Ipsum Generator,developer,static_client,ads,2,3,3,4,2,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
regex-tester,Regex Tester,developer,static_client,ads,2,3,3,4,2,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
sql-formatter,SQL Formatter,developer,static_client,ads,2,3,3,4,2,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
timestamp-converter,Timestamp Converter,developer,static_client,ads,2,3,3,4,2,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
url-encoder-decoder,URL Encoder Decoder,developer,static_client,ads,2,3,3,4,2,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
uuid-generator,UUID Generator,developer,static_client,ads,2,3,3,4,2,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
xml-formatter,XML Formatter,developer,static_client,ads,2,3,3,4,2,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
yaml-formatter,YAML Formatter,developer,static_client,ads,2,3,3,4,2,2,4,5,,candidate,editorial_seed_20260717,Initial opportunity catalog
document-scanner,Document Scanner,document_pdf,static_client,freemium,3,4,4,3,2,4,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
epub-to-pdf-converter,EPUB to PDF Converter,document_pdf,static_client,freemium,3,4,4,3,2,4,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
html-to-pdf-converter,HTML to PDF Converter,document_pdf,static_client,freemium,3,4,4,3,2,4,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
image-to-pdf-converter,Image to PDF Converter,document_pdf,static_client,freemium,3,4,4,3,2,4,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
markdown-to-pdf-converter,Markdown to PDF Converter,document_pdf,static_client,freemium,3,4,4,3,2,4,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
ocr-text-extractor,OCR Text Extractor,document_pdf,static_client,freemium,3,4,4,3,2,4,5,4,,candidate,editorial_seed_20260717,Initial opportunity catalog
